,GS,FTr,BLK%,VORP,3P%,Popularity,C,Allstar
758,0,0.286,0,-0.1,0,244,0,0
759,6,0.162,1.5,0.1,0.519,442,0,0
760,7,0.232,2,-0.1,0.361,957,0,0
761,71,0.274,3.5,2.2,0.307,592,0,0
763,19,0.362,1.1,0.6,0.316,421,0,0
764,13,0.197,3.9,-0.1,0,190,1,0
765,37,0.239,1.5,-1,0,115,1,0
766,1,0.286,0.5,-0.2,0.211,137,0,0
767,25,0.364,2.5,0.6,0.338,953,0,0
768,62,0.521,2.1,0.4,0.111,194,0,0
769,4,0.744,1.9,0.4,0.2,429,0,0
770,69,0.296,0.6,0.7,0.325,73,0,0
771,71,0.154,0.8,2.5,0.472,99,0,1
773,0,0.225,0.1,-0.4,0.4,416,0,0
774,0,0.105,1.4,0.3,0.356,830,0,0
776,0,0.182,0.2,-0.3,0.316,352,0,0
777,61,0.504,0.3,2.1,0.356,222,0,0
778,0,0.235,0,0,0.375,127,0,0
782,67,0.302,0.9,1.6,0,1161,0,0
784,65,0.195,1.9,3.8,0.379,336,0,0
785,0,0.231,1,-0.1,0,435,1,0
786,0,0.191,1.7,0.1,0.469,151,0,0
787,6,0.14,0.7,0.5,0.343,651,0,0
789,82,0.327,0.5,3.5,0.394,737,0,1
790,33,0.4,1,0.8,0.358,1341,0,0
791,54,0.392,1.3,1.3,0.167,187,0,0
792,17,0.502,4.8,0.4,0,774,1,0
793,82,0.376,3.7,3.3,0,350,1,0
794,77,0.445,1,7.3,0.376,1039,0,0
795,79,0.356,0.4,5.7,0.38,361,0,1
796,6,0.084,0,-0.7,0.298,2191,0,0
797,11,0.148,0.1,-0.1,0.337,270,0,0
798,1,0.767,4.4,0.7,0,188,1,0
799,76,0.092,1.3,1.9,0.358,876,0,0
800,45,0.086,0.2,-1,0.399,641,0,0
804,15,0.154,3.8,0.5,0,265,0,0
805,68,0.332,0.2,0.8,0.387,491,0,0
806,2,0.104,0.3,-0.1,0.354,781,0,0
807,82,0.298,0.4,3.1,0.393,182,0,0
808,23,0.16,0.8,-0.7,0.37,231,0,0
812,10,0.143,0.8,-0.5,0.373,229,0,0
813,0,0.191,0.3,-0.3,0.375,183,0,0
815,55,0.211,0.7,-0.6,0.32,256,0,0
816,78,0.15,1.5,2.9,0.361,254,0,0
817,70,0.289,0.1,1.8,0.401,636,0,0
818,1,0.14,0.3,-0.5,0.25,298,0,0
819,64,0.16,0.7,0.3,0.414,131,0,0
820,34,0.183,1.3,0.7,0.393,71,0,0
824,7,0.217,1,-0.1,0.325,1526,0,0
825,4,0.126,0.2,0.9,0.459,643,0,0
826,16,0.215,3,-0.4,0.319,1067,0,0
827,2,0.123,0.4,2,0.425,346,0,0
828,73,0.373,2.5,3.2,0.358,371,0,1
830,82,0.362,1.4,1.6,0,263,0,0
831,3,0.149,0.7,-0.1,0.354,213,0,0
836,1,0.244,0.8,1,0.381,387,0,0
837,0,0.387,1.8,1.6,0.315,199,0,0
838,9,0.167,0.7,-0.1,0.451,575,0,0
839,3,0.324,1.6,-0.4,0.25,238,0,0
840,30,0.477,4.2,0.7,0.167,83,1,0
841,0,0.323,0.3,-0.3,0.273,234,0,0
845,0,0.302,0.2,-0.3,0.417,941,0,0
846,0,0.192,3.7,-0.2,0,249,0,0
847,10,0.255,0.5,-0.3,0.333,1083,0,0
851,0,0.205,0.5,-0.3,0.167,130,0,0
852,68,0.15,0.2,0.5,0.348,893,0,0
853,5,0.136,1.5,-1.4,0.315,322,0,0
854,80,0.419,3.3,6.1,0,391,1,0
855,1,0.041,0.6,0.2,0.426,683,0,0
856,80,0.295,1.4,3.5,0.398,1248,0,1
857,19,0.224,5.8,0.8,0,169,1,0
858,44,0.34,1.2,0.8,0.327,286,0,0
859,9,0.243,1.5,0.9,0.351,210,1,0
860,4,0.16,1.4,-0.1,0.35,342,0,0
861,43,0.372,0.9,0.4,0,17,1,0
862,0,0.093,0.3,0.2,0.4,480,0,0
863,68,0.266,0.3,0.8,0.373,406,0,0
864,74,0.224,0.8,3.2,0.37,876,0,0
868,62,0.397,0.1,5.2,0.368,989,0,1
869,62,0.347,2.2,-0.2,0,308,1,0
870,68,0.435,1.2,1.8,0.373,640,0,0
871,22,0.646,3.6,1.4,0,721,1,0
872,2,0.329,0.3,0,0.324,42,0,0
873,0,0.132,0.3,-0.4,0.19,238,0,0
874,11,0.178,0.3,-0.7,0.264,336,0,0
875,0,0.043,0,-0.1,0.273,865,0,0
876,2,0.141,0.4,-0.2,0.209,833,0,0
877,27,0.063,0.1,0.8,0.464,298,0,0
878,76,0.122,0.8,-0.3,0.29,216,0,0
879,5,0.392,2.7,0,0.295,363,0,0
880,79,0.281,0.7,1.7,0.1,300,0,0
881,34,0.266,0.2,0.7,0.395,389,0,0
882,1,0.189,0.8,-0.1,0.294,353,0,0
886,4,0.365,0.6,-0.7,0.364,290,0,0
887,16,0.147,2,0.2,0.154,183,0,0
888,42,0.229,0.4,-0.4,0.36,703,0,0
889,1,0.222,0.3,0.4,0.377,325,0,0
890,0,0.345,1.6,-0.3,0,353,0,0
891,30,0.191,0.2,0.5,0.289,582,0,0
892,10,0.195,0.2,-0.2,0.34,508,0,0
893,62,0.13,1,1,0.395,321,0,0
894,82,0.422,0.3,2.3,0.331,1427,0,0
895,0,0.056,1.7,-0.4,0.34,282,0,0
900,20,0.34,5.6,0,0,124,1,0
901,0,0.229,0,-1,0.238,81,0,0
902,2,0.243,0.9,-0.6,0.143,562,0,0
903,6,0.21,0.4,-0.4,0.31,1317,0,0
904,61,0.203,0.9,1.1,0.316,251,0,0
909,0,0.667,0,-0.1,0,437,0,0
913,58,0.147,0.6,0.9,0.333,428,0,0
914,0,0.38,1.8,-0.2,0.294,367,0,0
918,36,0.306,1.3,1.1,0.382,222,0,0
919,0,0.373,1,-0.2,0.368,277,0,0
920,0,0.263,0.4,-0.3,0.28,77,0,0
921,1,0.171,0.2,-0.3,0.238,509,0,0
923,1,0.139,1,-0.1,0.043,202,0,0
924,37,0.145,0.7,1.3,0.394,333,0,0
926,76,0.244,3.2,0.9,0.264,273,0,0
927,12,0.122,0.9,-0.3,0.32,258,0,0
928,3,0.303,2.6,-0.8,0.258,220,1,0
929,50,0.5,1.8,1.3,0,335,1,0
930,78,0.226,0.2,3,0.352,468,0,0
931,20,0.262,4.7,0.7,0,495,1,0
932,0,0.176,0,0,0.25,694,0,0
933,5,0.342,0.4,-1,0.273,739,0,0
934,44,0.226,1.8,0.9,0.269,316,0,0
935,8,0.216,0.6,-0.5,0.269,1177,0,0
936,3,0.33,0.3,-0.5,0.25,694,0,0
937,79,0.362,0.5,0.6,0.329,236,0,1
941,7,0.117,1.4,0.5,0.39,702,0,0
942,0,0.305,1.4,-0.3,0.207,450,0,0
943,0,0.099,0,-0.3,0.379,111,0,0
944,54,0.371,0.3,3.1,0.349,467,0,0
949,41,0.196,0.5,-0.4,0.401,751,0,0
951,81,0.147,1,1.9,0.417,169,0,1
952,82,0.445,1.1,0,0,99,0,0
957,9,0.134,0.9,0.8,0.413,491,0,0
958,81,0.327,0.7,2.7,0.387,1134,0,0
959,0,0.165,2,0.2,0.44,469,0,0
967,81,0.385,2.5,0.3,0,480,1,0
968,29,0.294,1.8,2.1,0,218,1,0
975,0,0.152,2.2,-0.1,0.25,315,0,0
978,53,0.339,1.4,1.9,0.281,262,0,1
979,24,0.237,0.7,0,0.368,309,0,0
980,73,0.295,1,2.4,0.333,955,0,0
981,82,0.295,1.1,3.4,0.351,1111,0,1
982,16,0.439,0.8,0.6,0.297,181,0,0
983,0,0.143,0,0,0.333,507,0,0
984,5,0.263,0.5,0.7,0.366,238,0,0
985,0,0.364,0.4,-0.1,0.286,300,0,0
986,13,0.213,0.6,1,0.392,509,0,0
987,80,0.267,2.3,2.5,0.267,582,0,0
988,46,0.37,0.4,3,0.318,338,0,1
989,58,0.302,0.5,1.6,0.366,658,0,0
993,2,0.353,0.2,-1.1,0.296,891,0,0
994,7,0.363,0.2,0.1,0.342,192,0,0
995,50,0.139,1.5,0.9,0.359,1146,0,0
996,0,0.132,0.4,0,0.369,697,0,0
998,13,0.104,2.9,0.2,0.326,302,0,0
999,4,0.566,6.1,0.4,0,117,1,0
1000,31,0.231,0.9,-0.5,0.29,205,0,0
1001,1,0.113,1.8,0,0.315,215,0,0
1003,0,0.429,3.2,0.1,0,1218,0,0
1004,13,0.232,1.1,0.4,0.342,501,0,0
1005,16,0.403,0.7,-1.2,0.213,633,0,0
1006,9,0.321,0.5,0,0.386,344,0,0
1007,78,0.178,1.1,1.2,0.308,565,0,0
1008,3,0.495,2.3,0.2,0,271,1,0
1009,9,0.417,3,0.1,0,350,1,0
1010,22,0.293,1.4,-0.3,0.3,186,0,0
1011,0,0.267,2.3,0.1,0.4,848,0,0
1012,67,0.514,3.8,1.1,0,103,1,0
1018,9,0.346,2.4,0.2,0,270,0,0
1019,71,0.256,1.9,1.4,0.352,256,0,1
1021,41,0.277,1.5,2.2,0.345,587,0,0
1022,3,0.331,3.7,1.5,0.274,300,0,0
1023,20,0.551,4.6,0.9,0.308,119,1,0
1024,19,0.23,0.2,0.6,0.348,1107,0,0
1025,8,0.157,1.5,-0.1,0.273,371,0,0
1026,5,0.207,0.9,0.4,0.34,63,0,0
1027,71,0.445,2.8,1.6,0.159,400,0,0
1028,40,0.294,1,1.2,0.341,140,0,1
1029,3,0.416,1.1,-0.2,0.301,311,1,0
1030,82,0.157,0.5,2.9,0.35,369,0,0
1031,4,0.154,2.1,0.2,0.236,514,0,0
1037,19,0.099,1,0.1,0.513,403,0,0
1039,1,0.192,0.6,0.3,0.384,484,0,0
1040,10,0.175,0.1,0.2,0.323,385,0,0
1041,22,0.296,2.9,-0.3,0.366,113,1,0
1042,82,0.229,0.6,1.8,0.405,265,0,0
1043,74,0.152,1.8,2.1,0.362,421,0,0
1044,1,0.308,1.1,-0.1,0.5,68,1,0
1048,43,0.313,1.3,0.7,0.281,511,0,0
1049,71,0.163,1.2,3.1,0.324,521,0,0
1050,4,0.266,0.6,-0.3,0.308,264,0,0
1051,17,0.318,1.5,0.3,0.25,584,1,0
1052,10,0.302,2.1,0.1,0.364,239,0,0
1053,59,0.195,0.7,1.3,0.409,607,0,0
1054,1,0.123,2.2,-0.3,0.235,306,0,0
1055,9,0.211,0.2,0.5,0.374,344,0,0
1056,3,0.215,1.4,-0.6,0.304,162,0,0
1057,55,0.113,1,1.2,0.356,527,0,0
1063,0,0.125,0.2,0,0.352,168,0,0
1064,81,0.422,1.2,3.3,0.324,312,0,0
1065,1,0.167,0,-0.1,0.2,203,0,0
1066,28,0.184,0.4,0.1,0.355,506,0,0
1068,19,0.161,1,0.3,0.365,417,0,0
1069,5,0.319,2.1,0.9,0.345,575,0,0
1071,44,0.311,1.4,0.8,0.375,210,1,1
1072,77,0.099,0.5,0.2,0.352,343,0,0
1073,4,0.242,4.3,0.1,0,396,1,0
1077,21,0.213,0.6,0.3,0.387,943,0,0
1078,5,0.5,0.3,-0.3,0.371,788,0,0
1079,7,0.156,0.9,-0.1,0.214,473,0,0
1080,29,0.271,1.2,-0.1,0.266,325,0,0
1081,2,0.211,0,-0.1,0.429,934,0,0
1082,35,0.338,0.5,0.7,0.293,344,0,1
1083,4,0.208,0.6,-0.3,0.364,523,0,0
1087,43,0.144,0.5,0.1,0.318,92,0,0
1088,27,0.43,0.4,0.1,0.382,599,0,0
1089,21,0.154,0.2,0.2,0.379,213,0,0
1090,65,0.508,1,4.2,0.378,802,0,1
1091,1,0.13,1.2,0.1,0.387,776,0,0
1092,0,0.25,0,-0.1,0.636,333,0,0
1093,0,0.129,1.2,-0.1,0,503,0,0
1094,0,0.182,0.5,0.4,0.256,322,0,0
1095,42,0.09,0,-0.4,0.415,233,0,0
1096,82,0.163,0.5,0.6,0.345,162,0,0
1101,69,0.277,0.7,2.7,0.395,341,0,0
1102,1,0.14,1.1,0.2,0.297,565,0,0
1106,19,0.447,0.5,0.3,0.402,452,0,0
1107,37,0.401,0.4,0.6,0.294,395,0,0
1109,75,0.146,0.9,1.3,0.342,1351,0,0
1110,0,0.316,1.1,0,0.222,1916,0,0
1111,0,0.133,3.5,-0.1,0.286,169,0,0
1115,38,0.265,0.7,0.6,0.314,504,0,0
1120,45,0.335,0.7,1.4,0.373,346,0,0
1121,2,0.257,1.8,0.6,0.267,693,0,0
1122,70,0.282,0.5,2.6,0.386,344,0,0
1123,12,0.145,1,-0.5,0.311,174,0,0
1124,0,0.261,0,-0.1,0.35,389,0,0
1125,59,0.508,4,3.4,0.25,577,1,1
1126,49,0.287,1.3,1.1,0.374,1569,0,0
1127,9,0.105,1.6,0.3,0.353,69,0,0
1128,4,0.3,0.7,0.4,0.327,826,0,0
1132,27,0.139,1.7,0.2,0.1,162,0,0
1133,0,0.394,0,-0.1,0.308,1007,0,0
1135,80,0.251,0.5,7.9,0.443,1005,0,1
1147,68,0.384,6.2,5.7,0.083,1881,0,1
1148,0,0.373,1.9,-0.1,0,673,0,0
1149,15,0.395,4.8,-0.3,0,59,1,0
1150,13,0.124,0.1,-0.2,0.407,237,0,0
1151,72,0.319,0.8,1.5,0.355,118,0,0
1152,60,0.438,0.4,0.2,0.284,260,0,1
1153,15,0.147,0.9,1.1,0.32,127,0,0
1154,49,0.477,4.5,2.5,0.167,286,1,0
1155,1,0.201,1,-0.2,0.185,171,0,0
1156,17,0.572,2.3,0.1,0,440,0,0
1157,0,0.255,1.7,0,0.278,60,0,0
1158,0,0.381,0,-0.1,0.143,315,0,0
1162,1,0.052,0,-0.5,0.154,137,0,0
1163,82,0.38,4.8,1.2,0,293,1,1
1164,22,0.158,0.5,1.1,0.385,451,0,0
1165,77,0.38,5.1,4.2,0.286,244,1,0
1166,63,0.181,0.8,1.1,0.407,273,0,0
1167,27,0.366,2.2,1.9,0.403,133,0,1
1168,7,0.224,1.5,-0.5,0.262,161,0,0
1169,36,0.104,0.1,-0.4,0.37,156,0,0
1170,80,0.224,0.8,1.3,0.285,348,0,0
1171,3,0.381,1.4,0.1,0.326,186,0,0
1175,0,0.5,3.6,0.4,0.4,703,0,0
1176,7,0.708,0.5,-0.1,0,196,0,0
1177,76,0.25,1,2.6,0.304,441,0,0
1178,41,0.077,0.6,-0.8,0.314,145,0,0
1179,71,0.391,2.1,1.4,0.125,400,0,0
1180,0,0.07,0.8,0,0.361,124,0,0
1181,74,0.362,4.3,2.6,0.167,957,0,0
1182,3,0.142,1.2,-0.1,0.294,37,0,0
1183,9,0.146,0,0,0.5,207,0,0
1184,32,0.256,0.1,-0.1,0.378,382,0,0
1185,21,0.137,0.8,0.2,0.357,108,0,0
1190,0,0.271,0.3,-0.4,0.188,389,0,0
1192,51,0.072,1.7,0.5,0.393,46,0,0
1193,27,0.336,1.1,1.2,0.355,319,0,0
1194,41,0.153,0.7,0.3,0.352,748,0,0
1195,0,0.063,1.9,-0.2,0.222,500,0,0
1199,81,0.41,4,4.6,0.176,970,1,0
1200,78,0.317,4,3.2,0.462,302,0,1
1201,67,0.352,1.3,2.5,0.359,125,0,0
1205,0,0.224,0.9,0,0.409,98,0,1
1207,0,0.346,0.9,1.5,0.345,132,0,0
1208,37,0.639,7,4.3,0,993,1,0
1209,7,0.159,0.8,0.1,0.39,438,0,0
1210,2,0.413,1.3,-0.3,0.293,272,0,0
1211,8,0.293,2.2,-0.2,0.271,79,0,0
1212,0,0.227,0.1,-0.8,0.361,1089,0,0
1213,0,0.105,0,-0.2,0,345,0,0
1214,60,0.192,0.5,0.7,0.448,469,0,0
1215,82,0.226,3.6,2.4,0,271,1,0
1216,6,0.228,0.8,-0.2,0.357,79,0,0
1217,11,0.548,4,-0.5,0.314,218,0,0
1218,80,0.172,2.8,4.1,0.418,97,0,0
1219,79,0.261,2.9,4.4,0.337,101,0,1
1220,1,0.074,0,-0.3,0.298,145,0,0
1221,4,0.154,0.6,-0.2,0.354,837,0,0
1228,2,0.111,0.4,-0.7,0.347,1651,0,0
1229,67,0.373,1.2,3.6,0.4,257,0,0
1233,2,0.134,1.5,-0.3,0.301,96,0,0
1238,8,0.842,1.1,0.4,0.143,334,0,0
1239,30,0.218,0.7,-0.9,0.342,173,0,0
1240,81,0.561,1.6,7.8,0.375,1761,0,1
1241,4,0.259,1.1,-0.1,0.179,709,0,0
1242,3,0.309,0.7,1.3,0.357,378,0,0
1243,6,0.217,0.8,-0.4,0.204,480,0,0
1244,1,0.125,0.3,-0.3,0.369,1104,0,0
1245,63,0.258,1.2,1,0.364,321,0,0
1246,25,0.268,1.1,-0.4,0.2,167,0,0
1247,15,0.164,3.4,0,0.313,245,0,0
1249,76,0.425,0.9,3.6,0.364,373,0,0
1251,72,0.256,0.7,0.3,0.331,513,0,0
1254,76,0.287,5.1,0.5,0,78,1,0
1255,8,0.438,1.9,-0.3,0,269,1,0
1256,58,0.336,1,0.6,0.2,383,0,0
1257,36,0.267,0.9,2.4,0.358,878,0,0
1258,57,0.216,2.3,-0.3,0.273,1334,1,0
1259,78,0.304,0.6,1,0.327,185,0,0
1260,22,0.131,0.6,-0.3,0.345,442,0,0
1261,37,0.142,1.3,1.4,0.378,318,0,0
1262,4,0.191,1.4,0.2,0.321,317,0,0
1263,21,0.214,0.9,0.2,0.365,349,0,0
1264,76,0.146,3.5,3.4,0.306,159,1,1
1265,41,0.641,3.4,0.3,0.5,170,1,0
1266,0,0.286,1.5,0.1,0.5,453,0,0
1267,4,0.169,1,-0.3,0.314,875,0,0
1268,17,0.262,1.5,0.2,0,1173,0,0
1269,64,0.14,5.8,1.5,0.376,214,0,0
1270,0,0.23,0.9,1.9,0.349,283,0,0
1271,36,0.192,1.2,0.6,0.389,439,0,0
1272,32,0.113,0.5,0.5,0.356,941,0,0
1273,75,0.296,0.6,3.7,0.415,569,0,0
1274,27,0.278,0.5,0.3,0.267,324,0,0
1279,69,0.413,1.6,5.9,0.354,457,0,1
1280,61,0.163,3.3,1.1,0.4,912,1,0
1281,1,0.323,3.2,-0.2,0.133,155,0,0
1282,18,0.352,0.7,0.4,0.426,119,0,0
1283,3,0.192,0,0.1,0.404,1138,0,0
1284,41,0.263,0.3,1.1,0.36,432,0,0
1288,72,0.249,2.4,1.9,0.413,272,0,0
1293,17,0.252,4.1,1.6,0.216,3108,0,0
1294,80,0.172,0.4,1.5,0.359,369,0,0
1295,0,0.333,0.9,-0.3,0.238,1225,0,0
1296,2,0.281,1.3,0.1,0.375,786,0,0
1297,59,0.162,1.6,0.3,0.351,199,0,0
1298,0,0.524,0,-0.1,0,105,0,0
1299,2,0.229,0.9,0.1,0.36,654,0,0
1300,13,0.201,1,-0.5,0.233,801,0,0
1301,24,0.314,5.2,0.7,0.351,574,0,0
1302,82,0.882,5.4,4.3,0.25,322,1,0
1303,14,0.348,0.9,1,0.364,499,0,0
1308,16,0.284,0.1,0.1,0.296,73,0,0
1309,34,0.307,1.6,-0.3,0.336,921,0,0
1311,0,0.2,0,0,0.308,407,0,0
1316,75,0.197,1.5,3.3,0.492,224,0,0
1318,8,0.22,0.7,0.1,0.342,678,0,0
1320,22,0.181,0.4,-0.2,0.302,153,0,0
1321,1,0.315,2.9,-0.1,0.188,454,1,0
1322,40,0.261,0.4,-1.2,0.341,197,0,0
1323,75,0.392,0.3,1.7,0.341,520,0,0
1327,74,0.201,0.4,1.5,0.402,178,0,0
1328,4,0.332,2.1,0.8,0,1669,0,0
1330,44,0.295,5.3,0.4,0.333,117,1,0
1331,64,0.307,1.8,4.1,0.349,185,0,1
1332,7,0.131,1.2,0.5,0.42,794,1,0
1333,6,0.216,0.9,-0.2,0.241,223,0,0
1334,82,0.293,0.5,5.2,0.343,626,0,0
1335,30,0.41,1.4,0.6,0.369,996,0,0
1336,2,0.23,1,0.1,0,232,0,0
1337,44,0.278,4.8,1.1,0.1,974,1,0
1338,59,0.291,3.7,1.7,0,411,1,0
1339,75,0.337,1.2,2.5,0.367,595,0,0
1340,70,0.299,0.4,3.4,0.338,235,0,1
1341,0,0.048,0,-0.2,0.31,2142,0,0
1342,0,0.106,0.2,-0.2,0.315,201,0,0
1344,7,0.364,0.8,-0.1,0.182,274,0,0
1345,24,0.127,1.9,0.2,0.261,496,0,0
1346,3,0.089,0,-0.2,0.391,245,0,0
1349,36,0.309,0.1,0,0.393,390,0,0
1350,60,0.193,0.4,3,0.389,522,0,0
1351,15,0.198,0.9,0.3,0.357,171,0,0
1352,61,0.256,0.9,-0.6,0.307,272,0,0
1354,30,0.179,0.6,0.1,0.306,298,0,0
1355,3,0.2,0.6,0.3,0.396,217,0,0
1359,0,0.14,0.2,-0.5,0.317,226,0,0
1360,2,0.242,2.6,-0.1,0,136,0,0
1364,82,0.193,0.6,0.8,0.358,120,0,0
1365,0,0.182,2.1,-0.1,0.5,705,0,0
1366,4,0.245,0.9,0.1,0.421,39,0,0
1367,0,0.3,0.3,0.4,0.349,171,0,0
1369,58,0.18,0.4,2,0.407,495,0,0
1370,40,0.195,1.1,0.8,0.345,45,0,0
1375,15,0.035,0.5,-0.2,0.327,432,0,0
1379,0,0.119,0.2,0.3,0.341,105,0,0
1380,5,0.361,1.4,0.1,0.311,659,0,0
1381,73,0.362,2.4,3.7,0.356,611,0,1
1382,3,0.455,2.4,1.3,0.316,395,0,0
1385,0,0.144,0.9,-0.1,0.342,283,0,0
1386,0,0.085,0,-0.4,0.212,361,0,0
1387,35,0.148,0.6,0.8,0.358,818,0,0
1388,82,0.211,1.2,1.2,0.318,602,0,0
1389,0,0.145,0.5,1.2,0.434,364,0,0
1390,62,0.237,1.3,1,0.368,350,0,0
1394,13,0.365,0.6,0,0.392,114,0,0
1398,8,0.166,3.2,0.5,0.409,316,0,0
1399,10,0.246,0.3,-0.2,0.364,100,0,0
1407,3,0.132,2,-0.5,0.317,337,0,0
1408,67,0.407,2.6,2.8,0,262,1,0
1414,77,0.272,1.2,1.5,0.38,1275,0,0
1415,27,0.345,4.8,0.4,0,547,1,0
1417,17,0.236,3.8,0.4,0.279,314,0,0
1418,71,0.295,0.6,1.3,0.339,280,0,0
1419,13,0.258,2.1,1.5,0.349,355,1,0
1420,45,0.302,1,1.5,0,79,1,0
1421,1,0.091,1.3,-0.1,0.292,537,0,0
1422,0,0.057,0,0,0.409,409,0,0
1423,25,0.251,0.6,0.1,0.25,294,0,0
1424,68,0.2,0.1,0,0.427,160,0,0
1425,66,0.233,0.7,2.5,0.38,347,0,0
1426,4,0.15,1.6,2.8,0.371,397,0,0
1427,82,0.274,0.4,6.9,0.398,1063,0,1
1431,63,0.302,0.7,0.8,0.262,363,0,0
1435,73,0.32,1,1.7,0.389,640,0,0
1436,45,0.648,2.9,1.2,0,725,1,0
1440,13,0.202,1.7,0.6,0.337,202,0,0
1444,0,0.282,0.8,0,0.246,269,0,0
1449,20,0.202,0.3,0,0.284,576,0,0
1458,71,0.32,0.5,2,0.35,219,0,0
1459,78,0.216,0.3,1.6,0.437,320,0,0
1460,0,0.4,0,-0.1,0.143,396,0,0
1461,15,0.124,0.6,-0.1,0.323,845,0,0
1462,0,0.119,0.5,-0.3,0.317,317,0,0
1466,65,0.239,1.8,0.7,0.247,157,0,0
1467,10,0.164,0.4,-0.2,0.321,307,0,0
1480,51,0.224,0.8,0.3,0.28,555,0,0
1481,61,0.074,1,0.2,0.372,137,0,0
1482,22,0.324,0.1,0.3,0.255,1378,0,0
1483,2,0.087,0.4,-0.1,0.406,328,0,0
1484,0,0.204,3.3,-0.3,0.111,412,0,0
1485,18,0.268,3.1,-0.2,0,284,1,0
1486,0,0.083,1.1,-0.1,0.308,235,0,0
1487,32,0.272,1.9,-0.7,0.244,541,0,0
1489,10,0.269,0.2,-0.2,0.351,734,0,0
1490,16,0.352,0.8,0.5,0.25,339,0,0
1491,0,0.17,0.2,0.1,0.344,1567,0,0
1492,7,0.233,1.8,0.8,0.321,448,0,0
1493,0,0.182,3.8,-0.3,0,517,1,0
1504,32,0.273,1.7,-0.5,0.182,733,1,0
1508,21,0.217,0,0.2,0.313,360,0,0
1509,38,0.266,0.8,1.4,0.335,62,0,0
1517,31,0.258,2.1,-0.6,0.357,1734,1,0
1524,22,0.148,0.6,0.2,0.371,253,0,0
1525,9,0.276,2.1,-0.2,0.278,336,1,0
1527,1,0.216,1.2,-0.5,0.322,478,0,0
1528,25,0.2,0.4,-0.6,0.171,131,0,0
1530,0,1,0,-0.1,0.5,964,0,0
1531,36,0.286,0.4,0.9,0.39,362,0,0
1532,49,0.182,2.1,1.6,0.283,356,0,0
1533,13,0.36,0.2,-0.2,0.306,981,0,0
1534,72,0.36,1.2,2.1,0.343,359,0,0
1535,4,0.144,1.4,-0.1,0.321,451,0,0
1536,1,0.272,0,-0.1,0.3,366,0,0
1537,18,0.282,1,0.5,0.375,375,0,0
1538,18,0.108,0.9,0.7,0.39,119,0,0
1545,0,0.325,0.4,-0.3,0,765,0,0
1547,23,0.164,1.2,0,0.401,651,0,0
1548,63,0.334,2.3,0.1,0,907,0,0
1549,77,0.197,1.8,2.9,0.439,613,0,1
1557,63,0.24,0.7,1.9,0.345,841,0,0
1558,2,0.059,0.8,0.2,0.432,351,0,0
1559,57,0.189,0.7,0.6,0.277,202,0,0
1561,12,0.202,0.4,0.5,0.268,274,0,0
1562,80,0.423,3.6,0.8,0,440,1,0
1563,26,0.225,2,0.5,0,194,1,0
1564,29,0.091,0.4,0.4,0.379,475,0,0
1565,1,0.097,2.6,0,0.376,317,0,0
1566,0,0.342,2.7,-0.2,0.385,197,0,0
1567,74,0.181,1.7,1.6,0.333,971,1,0
1568,62,0.341,0.9,1.6,0.284,160,0,1
1572,13,0.107,1.2,0.2,0.341,451,0,0
1573,58,0.288,1.2,2.3,0.304,672,0,0
1574,79,0.31,1.3,3.9,0.3,1111,0,1
1575,0,0.441,1.1,-0.1,0.333,300,0,0
1576,1,0.089,1.1,0,0.238,332,0,0
1577,21,0.4,0.5,1.3,0.4,224,0,0
1578,1,0.124,1.4,-0.7,0.367,339,0,0
1579,0,0.703,0.2,-0.4,0.233,341,0,0
1580,66,0.235,2,1.8,0.2,682,0,0
1581,67,0.445,0.5,7.6,0.299,469,0,1
1582,0,0.548,1.5,0.1,0.167,681,0,0
1583,82,0.41,1.3,-0.2,0.31,284,0,0
1584,0,0.053,0.8,-0.1,0.368,380,0,0
1585,55,0.313,0.6,1.1,0.367,799,0,0
1586,6,0.404,0.2,-0.5,0.314,586,0,0
1590,0,0.426,0.4,1.5,0.34,448,0,0
1591,37,0.176,1.4,1.5,0.358,1064,0,0
1595,0,0.103,0,0,0.158,500,0,0
1607,2,0.221,1.3,0.4,0.38,492,0,0
1608,15,0.415,0.7,0.1,0.261,598,0,0
1609,0,0.284,0.5,-0.2,0.258,1528,0,0
1610,0,0.311,0.9,-0.4,0.369,227,0,0
1614,45,0.44,2.6,0.9,1,215,1,0
1616,29,0.318,2.2,0.5,0.388,191,0,0
1617,0,0.833,0,0,0,802,0,0
1619,57,0.164,0.3,-0.2,0.382,219,0,0
1620,17,0.197,3.4,-0.5,0,391,1,0
1621,74,0.289,2.8,2.2,0,79,0,0
1623,57,0.294,1,0.8,0.357,414,0,0
1624,82,0.217,1.8,1.3,0.361,245,0,0
1628,0,0.254,0.4,0,0.324,1057,0,0
1629,15,0.163,1.6,-0.4,0.267,1269,0,0
1630,9,0.314,3.2,0.1,0.265,619,0,0
1631,11,0.281,1.8,1.2,0.324,320,0,0
1632,7,0.245,1,0.3,0.366,84,0,0
1633,79,0.404,3.4,3.2,0.257,542,0,1
1634,72,0.308,1.1,2.9,0.339,166,0,0
1635,0,0.25,0,-0.1,0,332,0,0
1636,81,0.187,0.8,2.5,0.371,256,0,0
1637,16,0.108,2.6,0.6,0.385,472,0,0
1642,0,0.261,2.2,-0.1,0,857,1,0
