,GS,FTr,BLK%,VORP,3P%,Popularity,C,Allstar
162,1,0.214,1.8,-0.3,0.209,2,0,0
163,7,0.153,1.6,-0.4,0.314,369,0,0
164,17,0.329,2.4,0.7,0.385,983,0,0
165,60,0.083,0.8,0.2,0.428,1743,0,0
166,80,0.397,1.6,4.5,0.179,384,0,1
167,1,0.129,1.6,0.1,0.37,195,0,0
168,45,0.162,0.3,-1,0.308,1278,0,0
169,0,0.6,0.7,-0.1,0.261,800,0,0
170,8,0.737,1,-0.3,0,818,0,0
171,78,0.592,1,5.7,0.368,530,0,1
172,59,0.227,2.4,0.5,0.274,1023,0,0
173,0,0.222,2.6,-0.1,0.2,740,1,0
174,0,0.07,0.6,-0.1,0.267,1078,1,0
175,34,0.348,0.7,0.7,0.335,658,0,0
180,40,0.194,3.9,1.1,0.356,236,1,0
181,1,0.253,1.2,0.4,0,1135,1,0
182,27,0.38,1.4,1.7,0.415,263,0,0
183,0,0.6,0,0,0,1378,0,0
184,17,0.306,3.4,-0.8,0,133,1,0
185,58,0.366,1.3,0.2,0.33,606,0,0
186,2,0.571,0.7,-0.7,0.364,380,0,0
187,9,0.313,3.7,-0.2,0,209,0,0
188,79,0.261,6.7,2.2,0.25,194,1,1
189,80,0.36,1.7,1,0,745,1,0
190,0,0.105,0,0,0.2,1913,0,0
191,49,0.453,1.8,1.4,0,353,0,0
192,76,0.245,0.7,3.4,0.368,1182,0,0
193,0,0.245,1.3,-0.4,0.273,549,0,0
194,1,0.394,3,0,0,1281,0,0
195,60,0.232,1.1,0.3,0.39,811,0,0
196,78,0.188,0.9,1.9,0.368,498,0,0
197,0,0.167,3.3,-0.2,0.25,248,0,0
198,0,0.182,2.4,-0.1,0,558,0,0
199,74,0.196,2.2,3.5,0.5,109,1,0
200,76,0.887,4.9,2.3,0.167,426,1,1
201,4,0.156,1.1,-0.2,0.313,672,0,0
202,21,0.397,2.1,-0.2,0,2257,0,0
203,80,0.246,7.4,2.6,0.351,334,0,0
204,80,0.307,1.5,3.7,0.317,202,0,0
205,54,0.196,1.3,1.9,0.444,475,0,0
206,59,0.271,0.8,2.8,0.391,323,0,1
207,5,0.111,0.3,-0.1,0.42,470,0,0
208,4,0.231,0.4,1,0.404,913,0,0
209,0,0.191,1,0.3,0.231,444,0,0
210,6,0.212,0.9,-0.1,0.271,1440,0,0
211,11,0.398,6.5,0.1,0,2352,1,0
213,76,0.395,1.9,9.8,0.406,439,0,1
214,23,0.107,0.3,-0.3,0.384,1056,0,0
215,6,0.237,1,0.4,0.361,1676,0,0
216,78,0.176,2.7,2.2,0.118,1136,1,0
217,1,0.39,1,-0.1,0.311,95,0,0
218,0,0.426,1.3,-0.4,0,1914,0,0
219,2,0.238,0.8,-0.2,0.384,1308,0,0
220,80,0.225,0.3,2.1,0.375,731,0,0
221,2,0.278,0.7,0.3,0.301,221,0,0
222,38,0.309,3.8,3.2,0.385,175,0,0
225,5,0.368,1,0,0.077,1158,0,0
226,11,0.237,4.5,-0.2,0.095,3149,0,0
227,72,0.153,0.4,1.5,0.375,408,0,1
228,0,0.178,1.1,0.1,0.383,1208,0,0
229,21,0.088,1.4,-0.7,0.323,315,0,0
234,17,0.234,2.1,-0.8,0.257,261,0,0
235,3,0.486,0.5,-0.2,0.111,1207,0,0
236,0,0.066,2.2,-0.1,0.302,494,0,0
237,1,0.152,1.6,-0.5,0,985,0,0
238,0,0.181,5.2,0.3,0.263,519,0,0
240,9,0.191,0.7,0.1,0.286,373,0,0
241,52,0.138,3,-0.6,0,262,1,0
242,2,0.309,2.3,0,1,144,1,0
243,48,0.117,1.1,3.3,0.351,684,0,0
244,77,0.305,2.8,-0.1,0.222,599,0,0
245,64,0.446,2.4,3.2,0.292,629,0,0
246,3,0.264,0.4,-0.3,0.303,482,0,0
247,75,0.256,0.3,-0.1,0.367,231,0,0
248,60,0.13,1.3,2.7,0.457,86,0,0
249,81,0.205,4.4,1.6,0,460,1,0
253,0,0.206,1,-0.2,0.3,869,0,0
254,2,0.453,1.3,0.6,0.333,667,0,0
255,71,0.32,0.2,2.2,0.366,326,0,0
256,39,0.136,0.9,0.8,0.372,208,0,0
257,79,0.276,0.6,3.3,0,1319,0,0
258,12,0.263,1.6,0.1,0.333,878,0,0
259,57,0.24,1.3,2.7,0.374,109,0,0
260,9,0.321,2.4,-0.2,0.429,736,1,0
264,9,0.181,1.4,-0.2,0.389,519,0,0
265,1,0.383,0.8,0.1,0.368,217,0,0
266,82,0.249,0.5,1.9,0.368,386,0,1
267,82,0.307,0.8,1.5,0.339,1109,0,0
271,74,0.358,5.2,1.9,0,1290,1,0
273,18,0.477,1.1,0.1,0.217,259,0,1
274,52,0.384,1,2.9,0.362,135,0,0
275,0,0.075,0.1,-0.2,0.377,2136,0,0
276,0,0.333,0,-0.1,0,1251,0,0
281,0,0.632,0.6,-0.3,0.238,1124,0,0
282,2,0.52,3.7,-0.2,0,164,1,0
283,67,0.146,1.8,2.4,0.315,336,0,0
284,3,0.093,0.4,-0.9,0.315,536,0,0
285,3,0.111,0.7,-0.3,0.397,347,0,0
287,0,0.316,0.3,1.3,0.426,638,0,0
288,13,0.141,0.8,0.1,0.415,772,0,0
289,69,0.231,0.6,2,0.398,140,0,0
290,82,0.227,0.6,1.7,0.407,347,0,0
291,45,0.334,0.8,-0.7,0.351,329,0,0
292,0,0.353,8.5,1.2,1,598,1,0
296,10,0.181,0.2,0.5,0.357,411,0,0
297,0,0.227,0.7,0,0.311,117,0,0
298,13,0.174,1,0.3,0.384,151,0,0
299,11,0.307,0.4,1,0.266,525,0,0
300,2,0.074,1.4,0,0.393,1582,0,0
301,17,0.048,0.4,0.6,0.417,785,0,0
302,0,0.167,0,0,0,710,0,0
303,2,0.079,0.4,0.3,0.4,57,0,0
304,78,0.407,2.7,3.5,0.333,526,0,1
305,12,0.261,3.5,-0.1,0,365,1,0
306,81,0.371,1.6,3,0,100,1,0
307,21,0.099,1.1,-0.5,0.34,167,0,0
308,17,0.197,0.2,-0.4,0.364,1358,0,0
312,32,0.194,2.6,0.5,0.336,172,0,0
316,14,0.239,1.4,-0.1,0.289,233,0,0
317,1,0.299,3.8,0,0,38,1,0
318,41,0.176,1.8,-0.6,0.317,999,0,0
319,1,0.18,1.8,0,0.314,590,0,0
320,50,0.244,0.2,0.4,0.438,1400,0,0
321,17,0.124,0.1,-0.2,0.355,274,0,0
322,56,0.131,0.2,0.9,0.341,565,0,0
324,64,0.376,4.4,4.4,0,405,1,1
325,1,0.077,0.4,0.8,0.425,1460,0,0
326,47,0.265,1.7,1.5,0.414,1019,0,1
327,5,0.228,3.1,0.2,0,129,1,0
328,2,0.115,3,1.3,0.2,47,0,0
329,2,0.294,1.4,-0.3,0.28,210,0,0
330,15,0.427,0.8,0.6,0,34,1,0
335,66,0.332,0.2,2.6,0.353,523,0,1
336,76,0.165,0.9,3.3,0.385,442,0,0
340,70,0.377,0.4,5.6,0.328,1381,0,1
341,1,0.05,0.7,-0.1,0.3,1613,0,0
342,78,0.23,3.2,0.8,0,354,1,0
343,8,0.109,2,-0.2,0.25,486,1,0
344,77,0.387,0.9,3.4,0.38,786,0,0
345,16,0.184,1.2,-0.2,0.313,1520,0,0
346,1,0.251,0.4,0.8,0.395,213,0,0
347,22,0.15,0.2,0.1,0.35,831,0,0
348,0,0.2,0.4,-0.4,0.256,376,0,0
349,18,0.114,0.1,0.8,0.396,600,0,0
353,0,0.125,0,-0.2,0,667,0,0
354,0,0.07,2.1,0,0.185,1088,0,0
355,0,0.395,5,0,0,238,0,0
356,75,0.293,1,1.4,0.087,343,0,0
360,33,0.098,1.2,0.3,0.341,736,0,0
361,0,0.182,0,-0.1,0.25,256,0,0
362,82,0.202,0.5,1,0.311,188,0,0
363,26,0.277,0.5,-1.3,0.326,436,0,0
364,5,0.151,0.2,-0.2,0.386,703,0,0
365,23,0.183,0.4,1.9,0.405,652,0,0
369,38,0.2,0.5,1.3,0.24,637,0,0
370,2,0.092,0.9,-0.3,0.332,243,0,0
371,5,0.286,0,-0.1,0,1538,0,0
372,47,0.514,0.2,1.6,0.293,1822,0,0
373,0,0.333,0,0,0,452,0,0
375,72,0.18,0.9,0.1,0.371,188,0,0
376,1,0.4,1.2,-0.3,0,1489,1,0
377,55,0.225,7.6,2.2,0,202,1,0
378,67,0.251,1.2,1.1,0.188,674,0,0
379,1,0.381,0.4,-0.4,0,1132,0,0
380,81,0.148,1.5,3.1,0.419,183,0,0
381,0,0.5,0,-0.1,0.167,1029,0,0
383,0,0.513,0.3,0,0.308,347,0,0
384,0,0.696,0.8,-0.1,0.5,239,0,0
385,45,0.171,0.6,0.7,0.402,805,0,0
386,16,0.236,1.1,-0.1,0.295,400,0,0
388,74,0.193,1.3,0.1,0.35,434,0,0
389,11,0.29,2.1,-0.3,0.194,242,0,0
393,10,0.474,2.7,0.4,0,2146,1,0
397,0,0.249,0.8,2.2,0.356,805,0,0
398,0,0.299,4.3,0,0,1855,1,0
399,76,0.272,3.9,2.8,0.303,340,0,0
400,0,0.246,0.3,-0.5,0.214,1469,0,0
404,58,0.506,2.3,2.5,0,435,0,0
405,0,0.134,0.6,-0.3,0.337,658,0,0
406,72,0.192,0.5,1.7,0.33,121,0,0
407,31,0.088,0.4,0.1,0.364,202,0,0
410,24,0.364,0.6,-0.3,0.302,349,0,0
411,5,0.28,1.9,0.3,0.2,626,0,0
412,29,0.258,0.8,-0.5,0.344,1153,0,0
413,0,0.31,0,-0.3,0.462,983,0,0
414,78,0.232,0.8,0.8,0.359,184,0,0
415,0,0.142,1.3,-0.5,0.174,671,0,0
416,0,0.059,1.2,0.1,0.343,448,0,0
420,36,0.143,1.2,0.2,0.325,329,0,0
421,24,0.202,0.4,0.7,0.372,241,0,0
422,62,0.345,0.1,1,0.358,265,0,0
423,17,0.157,3.5,0.2,1,1085,0,0
428,2,0.228,3.4,-0.4,0.375,839,0,0
429,81,0.277,2.1,0,0,842,0,0
430,82,0.13,1.2,1.4,0.401,133,0,0
431,82,0.364,2.2,1,0,63,0,0
432,8,0.163,0.2,0.6,0.372,215,0,0
433,32,0.111,0.9,-0.3,0.307,1265,0,0
434,11,0.236,1,-0.3,0.338,421,0,0
435,45,0.194,0.7,0.8,0.314,672,0,0
436,1,0.113,0.4,-0.3,0.042,443,0,0
437,82,0.198,0.5,-0.1,0.365,249,0,0
438,9,0.442,4.7,0.5,0,969,1,0
443,25,0.353,1.3,1.5,0,143,1,0
444,78,0.152,0.2,1.4,0.342,1011,0,0
445,4,0.342,2.2,-0.1,0,439,0,0
446,0,0.106,2.8,0.1,0.347,279,0,0
447,77,0.142,2.4,1.6,0,1066,1,0
448,69,0.389,1.9,3.5,0.258,333,0,1
449,48,0.261,0.7,-0.5,0.31,190,0,0
450,82,0.298,0.9,2.5,0.322,585,0,0
451,42,0.416,1.8,2.2,0.267,808,0,1
452,68,0.415,1.7,2,0.282,413,0,0
453,0,0.141,4.4,-0.1,0.319,818,1,0
454,0,0.11,1.2,0.2,0.299,116,0,0
455,8,0.198,0.6,1.2,0.411,389,0,0
456,4,0.208,0.8,-0.5,0.179,315,0,0
457,62,0.311,0.6,1.9,0.422,913,0,0
458,73,0.312,2.1,3.3,0.211,622,0,0
459,82,0.375,0.6,5.1,0.323,341,0,0
460,16,0.164,0.8,-0.2,0.341,2313,0,0
461,7,0.379,2.7,0.7,0,2382,1,0
462,21,0.345,1.3,-0.1,0.333,488,0,0
463,78,0.328,0.8,3.9,0.378,905,0,0
464,56,0.346,1.5,-0.8,0.332,569,0,0
465,9,0.273,0.7,0.4,0.367,178,0,0
466,51,0.211,1.7,0.3,0.325,921,0,0
467,46,0.159,0.5,0.2,0.383,618,0,0
468,0,0.159,0.2,-0.1,0.306,657,0,0
469,0,0.216,0.5,-0.1,0.333,842,0,0
470,66,0.205,1.2,2.2,0.342,484,0,0
471,16,0.238,5.2,1,0,150,1,0
473,8,0.235,1.5,1.5,0.374,617,0,0
474,0,0.337,1.2,-0.2,0.25,514,0,0
475,17,0.236,0.8,-0.2,0.357,112,0,0
476,3,0.291,0.9,-0.1,0.308,2255,0,0
477,76,0.196,1.6,2.5,0.125,243,0,0
478,55,0.281,2.8,-0.1,0,433,1,0
486,73,0.332,0.1,0.9,0.427,355,0,0
487,30,0.269,4.1,0.3,0,497,1,0
488,69,0.253,1.9,1.5,0.2,98,0,1
492,9,0.214,0.4,1,0.375,587,0,0
493,28,0.293,1.2,1.4,0.234,535,0,0
494,65,0.277,1.6,0.9,0.271,144,0,0
495,0,0.615,6.1,1.3,0.25,269,1,0
496,26,0.243,0.5,-0.1,0.339,1114,0,0
497,62,0.148,1,-0.3,0.328,1454,0,0
498,14,0.175,0.7,0.4,0.409,89,0,0
499,23,0.483,2.6,0.1,0.347,384,0,0
500,77,0.329,1.5,4.2,0.402,434,0,1
501,26,0.224,1,0.1,0.327,299,1,0
502,77,0.226,0.6,3.6,0.407,565,0,0
503,1,0.151,3,-0.2,0.375,539,0,0
509,2,0.117,1.9,0.1,0.379,497,0,0
510,0,0.298,0.8,-0.2,0.28,269,0,0
511,1,0.152,0,-0.6,0.316,548,0,0
512,39,0.203,3.7,-0.1,0.278,142,1,0
513,24,0.267,0.7,0.3,0.347,121,0,0
514,40,0.171,1.2,1.5,0.343,127,0,0
515,0,0.205,1.3,-0.1,0.303,240,0,0
516,73,0.33,2.4,0.5,0.333,152,0,0
517,56,0.084,2.3,1.1,0.348,283,0,0
518,82,0.248,1.3,4.6,0.361,387,0,0
526,73,0.164,0.6,0.5,0.402,870,0,0
527,2,0.223,2.2,-0.3,0.389,646,0,0
528,25,0.188,0.3,1.9,0.43,439,0,0
529,0,0.307,1,-0.9,0.245,336,0,0
530,55,0.212,1,2,0.361,627,0,0
531,7,0.152,0.3,-0.3,0.292,459,0,0
533,13,0.308,1.4,0.8,0,438,0,0
537,7,0.328,2,0.8,0.278,645,0,0
538,40,0.426,0.8,1.8,0.357,913,0,0
539,0,1.25,0,0,0,233,0,0
542,0,0.073,1.2,0.4,0.429,563,0,0
543,45,0.189,2.4,0.8,0,465,0,0
544,76,0.197,0.8,-0.7,0,374,0,0
545,79,0.285,2.7,1.6,0.339,508,1,1
546,58,0.136,0.5,-0.2,0.395,380,0,0
547,15,0.283,4.9,0.9,0,386,1,0
548,81,0.281,0.9,2.4,0.28,547,0,0
556,0,0.151,1.1,-0.3,0.1,470,0,0
560,6,0.288,0.4,-0.2,0.188,330,0,1
561,8,0.154,0.2,-0.1,0.35,600,0,0
562,0,0.074,0.2,-0.3,0.301,377,0,0
563,68,0.126,0.2,-0.3,0.33,203,0,0
