,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
47,32,74,23,1408,0.863,0.06,8.1,1.1,0.2,14.4,11.2,0.047,0.3,0.343,0.615,17,0.647,76,28,4,49,301,0,4.2,0
48,28,32,32,786,0.005,0.207,12.5,1.3,5.5,14.8,13.4,0.106,0.9,1,0.448,38,0.5,67,20,55,35,205,1,5.81,0
49,32,68,4,909,0.522,0.065,5.8,1,1.5,6.3,12.8,0.133,0.6,0.442,0.536,15,0.733,36,17,19,16,604,0,4.24,0
50,25,48,14,887,0.023,0.327,7.4,1.9,1.4,11,14.5,0.126,0.5,0,0.502,72,0.556,40,32,16,31,193,0,5.33,0
51,31,79,79,2546,0.002,0.232,13.4,1.4,0.8,12.3,25.8,0.108,0.9,0,0.478,264,0.731,179,66,28,176,270,0,16.22,0
52,28,74,74,2454,0.082,0.333,8.4,1.4,3.4,11,22.7,0.175,2,0.284,0.557,302,0.798,123,66,101,128,688,1,16.65,1
53,22,50,50,1435,0.264,0.103,11.6,2.3,1,12.6,18.8,0.012,-0.2,0.317,0.432,49,0.755,104,64,19,72,574,0,9.22,0
54,33,72,18,1527,0.002,0.195,7.1,1.7,4.6,9.9,17.2,0.107,0.9,0,0.474,93,0.71,70,50,90,57,599,1,7.19,0
55,26,82,2,2003,0.348,0.245,9.5,3,0.9,9.4,23.4,0.093,1.1,0.296,0.493,216,0.69,124,118,23,102,392,0,12.07,0
59,24,73,2,912,0.164,0.281,14.6,2,1.3,15.5,22.5,0.068,0,0.273,0.5,94,0.734,76,34,16,69,287,0,5.4,0
60,27,59,22,1402,0.247,0.219,12.8,2.2,0.8,10.6,22.2,0.041,0,0.277,0.467,125,0.784,108,59,15,74,1539,0,10.46,0
61,34,78,78,3013,0.255,0.392,29.7,1.8,0.6,13.3,31.9,0.174,5.1,0.324,0.51,626,0.839,469,106,25,287,475,0,27.35,1
62,24,23,1,508,0.424,0.22,8.3,1.4,1.1,9.9,20.5,0.066,0,0.321,0.482,42,0.762,25,14,7,23,859,0,9.39,0
63,21,64,0,1137,0.237,0.332,13,1.6,0.9,14.3,20.7,0.044,-0.2,0.359,0.439,129,0.713,92,35,13,74,667,0,7.05,0
64,32,78,78,1879,0.458,0.125,6.5,1.4,0.5,8.7,20.2,0.091,0.2,0.388,0.454,90,0.833,78,51,11,72,313,0,10.42,0
65,23,82,20,2134,0.205,0.455,8.6,2,1.1,9.2,14.6,0.158,2.1,0.381,0.489,233,0.803,115,78,31,62,286,0,8.6,0
66,30,65,0,1219,0.141,0.243,34.8,2,0.3,17.3,27,0.067,-0.1,0.316,0.494,131,0.809,231,45,5,125,917,0,9.78,0
70,26,66,12,1111,0.216,0.302,8.7,2.8,1.7,8.5,16.4,0.134,1.1,0.286,0.508,98,0.765,61,58,24,34,48,0,5.95,0
71,36,81,3,2093,0.467,0.261,15,1.8,1.6,10,23.1,0.137,2.6,0.406,0.461,223,0.816,194,74,44,106,447,0,13.43,0
72,24,43,1,503,0.475,0.256,8.8,2.6,1.9,11,17.7,0.064,0,0.329,0.452,41,0.537,28,25,12,22,495,0,4.02,0
73,26,77,77,2068,0.569,0.212,19.4,3,0.5,17.1,16.1,0.12,1.6,0.409,0.456,112,0.795,273,118,12,119,825,0,8.65,0
75,25,43,8,1079,0.277,0.244,8.3,2.1,0.9,10.6,22.7,0.137,0.7,0.413,0.48,111,0.793,58,45,12,60,2034,0,13.02,0
76,29,14,0,100,0.143,0.095,7.3,1.1,1.5,0,10.1,0.029,0,0.333,0.278,2,0.5,5,2,2,0,332,0,1,0
77,25,59,36,1363,0.269,0.197,7.4,1.3,2.3,12.9,15.7,0.08,0.4,0.337,0.479,76,0.697,65,36,44,62,1006,0,7.25,0
78,24,49,16,812,0.46,0.159,7.9,1.7,1.1,17.5,13.9,-0.005,-0.3,0.287,0.48,30,0.467,43,26,12,43,840,0,3.82,0
79,24,80,4,1590,0.231,0.188,15.2,1.9,0.4,18.4,17,0.019,-1,0.357,0.44,80,0.65,164,57,7,104,1193,0,5.56,0
83,25,81,47,2372,0.188,0.38,26.8,2.2,0.3,17,19.6,0.114,1.3,0.353,0.498,275,0.88,415,100,8,173,494,0,12,0
84,32,81,2,1583,0.014,0.264,11.3,1.7,1.4,17.3,11.5,0.158,1.8,0,0.603,78,0.769,121,51,30,69,1097,1,5.09,0
85,25,80,80,2757,0.312,0.3,29.5,3.4,0.7,15.1,21,0.172,4.3,0.362,0.476,282,0.83,487,174,24,189,145,0,14.6,0
86,30,4,0,20,0.333,0.222,0,0,0,0,22.1,-0.433,-0.1,0,0,2,0.5,0,0,0,0,1485,0,0.25,0
87,28,56,13,862,0.368,0.218,5.7,1,1.2,10.7,25.3,0.117,-0.1,0.421,0.513,83,0.759,27,16,12,50,195,0,8.68,0
88,22,75,74,2289,0.021,0.408,15.3,2.4,1.9,15.5,28.1,0.092,1.7,0.182,0.471,423,0.738,199,108,55,225,246,1,17.07,0
89,32,76,0,2230,0.39,0.244,14.4,1.9,0.5,11.5,26,0.116,0.8,0.376,0.477,248,0.871,193,79,13,146,703,0,16.51,0
93,22,78,16,1353,0.523,0.199,10,2.4,1,10.9,15.1,0.055,0.5,0.328,0.446,73,0.644,94,63,17,49,115,0,5.03,0
94,25,80,9,2010,0.009,0.154,5.7,2.2,1.5,7.3,17.2,0.084,0.5,0,0.472,103,0.65,67,84,38,56,184,0,8.69,0
95,21,8,0,26,0.214,0.143,6.8,2,0,11.8,29.6,0.033,0,0.667,0.364,2,1,1,1,0,2,773,0,2,0
96,24,78,78,2983,0.432,0.21,31.1,2.1,0.3,13.7,26.4,0.18,5.6,0.453,0.449,291,0.9,539,126,12,240,175,0,22.9,1
97,31,47,23,765,0.004,0.217,4.5,1.1,5.1,15.5,18.7,0.137,0.1,1,0.54,55,0.691,21,17,53,51,539,1,6.66,0
98,32,59,33,1085,0.205,0.154,9,2.4,0.7,10.7,16.9,0.023,-0.4,0.278,0.401,54,0.741,65,51,10,45,1080,0,5.49,0
99,19,64,60,1846,0.009,0.333,6.1,2.2,5.1,10.3,21.8,0.159,2,0,0.521,225,0.751,63,75,112,89,954,0,13.55,1
100,27,34,33,1064,0.004,0.245,11.3,1.6,1.5,10.8,25.4,0.035,-0.3,0,0.45,117,0.718,70,32,21,64,621,0,15.06,0
101,30,67,5,1689,0.679,0.09,12.5,2,0.4,10,18.6,0.101,1.3,0.375,0.467,56,0.857,135,68,9,72,555,0,10.57,0
102,27,75,75,2903,0.213,0.258,13.2,1.5,0.8,10.6,21.5,0.105,2.2,0.322,0.455,282,0.816,222,81,32,144,317,0,16.49,0
103,23,82,82,3013,0.097,0.347,12,1.3,0.6,9.6,24.2,0.075,0.1,0.283,0.463,427,0.831,204,76,24,151,145,0,18.11,1
104,30,75,20,1709,0.235,0.196,15,1.6,1.1,18.9,12,0.124,1.6,0.385,0.587,65,0.723,180,52,27,84,170,0,5.8,0
105,31,22,1,226,0.037,0.037,8.5,1.2,5.7,22.6,7.1,-0.017,-0.1,0,0.308,1,0,13,5,16,8,1462,1,0.73,0
106,32,7,0,82,0.571,0.333,15.6,0.7,0,17.2,16.4,0.128,-0.1,0.417,0.556,7,0.857,8,1,0,5,970,0,4.43,0
110,26,6,0,63,0.286,0.714,8.9,1.6,0,5.2,14,0.041,0,0,0.5,10,0.7,4,2,0,1,804,0,2.83,0
111,26,77,77,2581,0.305,0.36,35.7,2.5,0.8,16.8,21.7,0.106,2.2,0.319,0.497,326,0.748,569,124,26,212,54,0,14.73,0
112,19,60,10,1243,0.006,0.465,4.1,2.5,6.1,12.2,17.2,0.172,1.4,0.5,0.609,159,0.371,30,59,95,57,489,1,7.93,0
113,27,79,50,2170,0.405,0.242,14.9,1.8,0.3,12,17.2,0.106,1.7,0.391,0.52,162,0.796,203,75,8,101,449,0,10.9,0
114,30,46,9,820,0.74,0.106,22.8,1.2,0.1,23.7,9.2,0.056,-0.3,0.363,0.438,13,0.462,133,20,1,40,993,0,2.89,0
115,36,69,69,2078,0.007,0.307,15.5,1.2,6.4,11.7,27.8,0.191,3.2,0.286,0.504,300,0.817,184,50,183,147,465,1,17.78,0
116,32,75,3,1943,0.479,0.205,11.5,1,1.3,11.7,17.3,0.109,0.9,0.428,0.455,128,0.82,145,39,35,90,226,0,10.47,0
117,24,81,81,3119,0.233,0.523,21.7,1.9,2.6,13.7,29.8,0.291,7.6,0.416,0.539,750,0.905,374,116,105,280,173,0,28.15,1
118,23,19,3,197,0.301,0.192,7.8,0.8,0.4,12.2,20.4,-0.025,-0.3,0.273,0.353,14,0.786,10,3,1,11,1964,0,3.42,0
122,27,82,82,3076,0.228,0.26,27.1,2.8,0.9,13.7,26.3,0.071,2.2,0.287,0.454,374,0.773,496,169,36,254,526,0,19.23,0
