,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
647,24,72,22,2028,0.106,0.346,30.4,2.2,0.9,14.5,27.1,0.073,1.4,0.221,0.461,310,0.771,363,84,21,175,228,0,14.47,0
648,24,80,77,2178,0.004,0.379,7.5,1.6,2.3,12.4,21.3,0.144,1.8,0,0.547,311,0.65,96,70,69,135,682,0,13.7,0
649,27,41,5,912,0.44,0.162,34.6,2,0.6,19.6,23.2,0.039,0.2,0.438,0.397,59,0.746,199,38,8,95,212,0,10.15,0
650,25,37,8,488,0.272,0.252,5.2,1.5,4.3,20.1,18.6,0.031,-0.1,0.3,0.486,37,0.649,16,14,27,41,152,1,4.43,0
651,22,73,73,2201,0.001,0.38,7.3,1.8,3.8,12.9,20.8,0.112,1.5,0,0.523,284,0.669,91,75,108,129,1038,0,13.29,0
652,23,7,0,38,0.357,0.286,18.2,0,0,20.2,23.2,0.057,0,0.4,0.556,4,0.75,4,0,0,4,289,0,2.71,0
653,29,65,65,2017,0.321,0.201,28.1,2.1,1.2,16.3,18.2,0.053,0.5,0.318,0.431,122,0.721,365,78,27,129,193,0,9.69,0
654,25,30,2,322,0.075,0.328,9.3,1.6,0.7,12.5,12.4,0.057,-0.1,0,0.435,22,0.636,20,10,3,11,460,0,2.27,0
655,39,81,0,1428,0.634,0.197,11.6,2.5,0.2,11.1,13.7,0.103,0.5,0.384,0.402,71,0.775,117,70,3,49,353,0,5.25,0
656,21,76,4,1503,0.436,0.226,11.6,1.1,0.3,14.3,19.7,0.043,-0.2,0.376,0.453,123,0.756,112,34,7,100,364,0,8.39,0
657,30,81,78,2485,0.569,0.211,17.7,1.3,1.2,13.2,18.8,0.089,1.8,0.38,0.456,185,0.849,287,67,39,145,188,0,13.19,0
658,22,21,0,161,0.282,0.051,5.4,1.3,1,21.6,14.6,-0.002,-0.1,0.455,0.393,2,1,6,4,2,11,162,0,1.86,0
662,26,52,0,727,0.012,0.179,7.1,0.7,2.1,15.5,12.4,0.093,0.2,0,0.481,29,0.69,36,10,22,32,841,1,3.35,0
663,30,82,82,2312,0.555,0.122,6.4,1.3,2.1,9.8,17.3,0.109,1.8,0.37,0.509,95,0.821,98,60,63,89,118,0,11.1,0
664,32,55,4,1083,0.656,0.065,8.6,1.2,2.3,9,13.5,0.078,0.5,0.358,0.485,19,0.526,63,27,33,30,688,0,5.73,0
665,37,54,54,1109,0.008,0.132,12.4,2,3,15.5,18.9,0.054,0,0,0.445,47,0.809,82,43,40,69,353,1,6.52,0
666,25,71,0,1048,0.362,0.045,17.6,2.1,0.4,21.7,15.1,-0.036,-0.8,0.375,0.385,12,0.833,120,41,5,75,514,0,3.49,0
667,29,59,59,1970,0.015,0.339,17.7,1.6,3.2,12,21.7,0.137,2.4,0.182,0.477,241,0.768,215,59,76,111,615,1,14.56,1
668,33,60,60,1884,0.016,0.287,18.7,0.7,3.5,12.4,26.4,0.076,1.3,0.286,0.483,254,0.736,201,27,92,141,562,1,17.35,1
672,26,65,24,1020,0.246,0.258,6.9,2,1.2,14.3,13.4,0.041,-0.2,0.328,0.444,61,0.705,47,39,15,44,675,0,3.97,0
673,23,80,80,2898,0.367,0.341,17.9,2.7,0.6,12.5,28.3,0.178,4.9,0.364,0.458,464,0.864,283,151,22,224,328,0,21.71,0
674,28,82,8,2351,0.008,0.314,7.3,0.9,3.7,12.8,23,0.117,0.5,0,0.483,281,0.751,91,41,112,150,477,0,13.04,0
675,36,68,3,1550,0.411,0.3,29,2.3,0.8,16.4,24.7,0.176,2.4,0.349,0.553,188,0.851,293,70,17,139,322,0,12.32,0
677,32,22,0,395,0.119,0.189,6.3,1.3,1.5,9.9,19.7,0.173,0.1,0.412,0.548,27,0.889,15,10,7,17,780,1,8.32,0
678,19,52,0,533,0.216,0.329,5.7,1.9,1.6,18.7,19.4,0.018,-0.3,0.139,0.542,55,0.673,20,20,11,44,276,0,3.73,0
679,30,19,0,279,0.269,0.194,12.2,1.9,0.6,15.2,22.9,-0.058,-0.3,0.276,0.367,21,0.81,21,10,2,21,1275,0,5.21,0
680,25,64,64,2057,0.316,0.273,16.6,1.9,0.5,12.8,23.2,0.058,0.4,0.391,0.456,223,0.785,208,74,12,134,584,0,15.44,0
681,29,81,80,2655,0.001,0.273,8.4,0.8,3.8,11.8,18.2,0.146,2,1,0.541,229,0.686,138,41,121,126,612,1,13.19,0
685,26,68,59,1651,0.63,0.125,8.9,2,2.7,12.5,16.7,0.122,2.2,0.415,0.46,63,0.794,104,65,61,76,150,0,9.09,0
686,23,82,12,1797,0.359,0.268,11.9,2.8,3,15.1,14.8,0.119,2.2,0.333,0.449,123,0.667,152,102,72,91,10,0,6.23,0
687,28,82,48,2330,0.507,0.229,8.6,1.5,1.4,11.6,23.6,0.126,1.8,0.4,0.492,230,0.848,122,70,42,145,639,0,15.79,0
688,27,82,82,2805,0.338,0.304,8.4,1,1.3,11.1,23.6,0.057,0,0.341,0.448,356,0.795,138,57,47,165,611,0,16.85,0
689,32,55,9,869,0.446,0.125,8.3,1.3,1,10.6,16.3,0.028,-0.3,0.339,0.407,34,0.824,50,22,11,34,1569,0,4.96,0
690,24,80,80,2863,0.032,0.496,19.2,1.6,1.4,11.9,29,0.205,4.8,0.273,0.537,674,0.715,309,92,51,224,450,0,24.12,1
691,25,15,2,244,0.222,0.222,19.4,2.2,0.3,19.1,14.1,0.048,-0.1,0.25,0.524,12,0.75,30,10,1,14,1052,0,4.13,0
698,28,64,4,978,0.01,0.944,2.7,1.5,1.6,14.5,15.1,0.149,0,0,0.479,185,0.681,17,28,19,47,368,0,4.88,0
699,21,81,1,1875,0.521,0.186,5.8,1.2,0.3,5.9,19.6,0.08,-0.1,0.363,0.498,128,0.828,66,44,7,47,282,0,10.17,0
700,24,73,73,2777,0.401,0.552,27.3,2.1,0.8,15,27.8,0.221,5.4,0.366,0.515,665,0.866,446,115,29,265,525,0,25.36,1
701,20,80,41,1950,0.319,0.296,6.4,2.5,2,13.6,14.8,0.068,0.9,0.383,0.502,143,0.594,80,97,50,86,704,0,7.4,0
702,24,32,0,317,0.378,0.085,6.9,1,3.8,10.5,12.8,0.108,0.1,0.387,0.51,7,0.714,15,6,15,10,338,1,2.91,0
703,33,34,0,511,0.483,0.169,8.7,1.4,0,13.3,22.7,0.035,-0.3,0.34,0.449,35,0.771,28,14,0,34,795,0,6.62,0
704,30,40,0,818,0.398,0.453,31,1.8,0.2,16.2,20.2,0.094,0.1,0.307,0.425,115,0.8,178,28,2,59,539,0,7.88,0
705,24,9,0,180,0.286,0.171,9.5,1.1,0.4,10.7,20.4,0.002,-0.1,0.35,0.42,12,0.833,11,4,1,9,382,0,8.11,0
706,30,20,0,225,0.033,0.443,3.6,3.7,2.4,13.1,17.1,0.116,0.1,0,0.492,27,0.963,5,16,7,11,2758,0,4.2,0
707,21,61,36,1850,0.176,0.341,7.7,1.1,1,8.7,22.2,0.107,0.1,0.254,0.508,244,0.807,82,41,24,78,162,0,14.64,0
715,23,77,77,2800,0.271,0.369,24.1,2.1,1.1,15,23.1,0.062,2.1,0.304,0.453,381,0.816,400,110,40,212,656,0,16.21,0
716,26,77,77,2461,0.124,0.332,13.9,1.1,1,9.6,22.1,0.071,0.2,0.348,0.445,309,0.761,199,51,32,113,398,0,14.04,0
717,22,43,5,908,0.235,0.513,8.8,2.4,0.6,11.9,23.1,0.017,-0.4,0.346,0.439,177,0.655,51,44,7,57,183,0,10.05,0
718,23,70,23,1856,0.002,0.277,10.9,1.2,5.1,13.7,20.3,0.084,1.1,0,0.539,177,0.514,113,41,116,114,284,0,11.13,0
719,27,81,81,2409,0.007,0.357,6.2,0.6,5.7,14.5,19.4,0.108,1.1,0.4,0.439,269,0.77,91,29,182,148,137,1,10.75,0
720,25,69,52,1859,0.012,0.443,8.4,1.2,2,14.1,20.8,0.086,0.6,0,0.514,290,0.517,96,47,51,128,343,0,11.8,0
721,31,53,37,1560,0.008,0.448,16.3,2.1,2.5,14.1,24,0.098,0.9,0.2,0.506,266,0.583,153,64,47,117,574,0,14.23,0
722,27,76,76,2434,0.422,0.286,17.2,1.6,0.7,11.7,14.8,0.154,2.7,0.365,0.497,176,0.807,265,75,23,92,1043,0,10.28,0
723,26,72,32,1500,0.002,0.347,5.9,0.9,3.1,11.1,19.7,0.141,0.5,0,0.55,181,0.685,54,29,64,75,1380,0,9.67,0
724,22,28,0,226,0.575,0.175,7.9,1.1,0.7,23.2,11.3,0.08,0,0.304,0.588,7,0.857,12,5,2,13,235,0,1.68,0
725,33,73,61,2116,0.391,0.202,22.6,2,1,15.1,17.3,0.085,0.6,0.351,0.419,125,0.76,286,80,26,120,639,0,9.12,0
726,23,34,34,1143,0.17,0.139,38.9,2.6,0.9,17.9,23.3,0.064,0.8,0.39,0.459,63,0.81,268,56,12,105,249,0,14.32,0
727,24,2,0,7,0.5,0.5,18.8,7.4,0,0,31.1,-0.412,0,0,0,2,0.5,1,1,0,0,613,0,0.5,0
728,27,29,29,958,0.026,0.202,15.2,1.4,3.6,12.3,24.7,0.141,1.1,0.364,0.572,85,0.682,76,27,44,64,86,1,18.55,1
729,28,71,71,2396,0.009,0.798,9.3,1.2,4,17.5,24,0.161,2.4,0.286,0.594,638,0.547,131,60,128,229,170,1,18.27,0
730,24,53,5,655,0.503,0.09,5,1.2,0.2,5.2,12.6,0.084,0,0.36,0.398,16,0.938,23,16,2,10,1060,0,3.42,0
731,28,69,30,1376,0.004,0.312,8.2,1.2,3.4,10.9,19,0.143,0.7,0,0.503,144,0.813,67,31,61,64,1353,0,8.39,0
732,24,81,81,2666,0.061,0.203,5.2,0.7,6.7,10.3,19.8,0.173,2.6,0.383,0.546,199,0.784,85,39,219,123,510,0,15.15,0
733,30,63,63,2040,0.382,0.288,18.2,2.3,0.7,16.2,13.3,0.135,2.6,0.354,0.558,132,0.652,263,95,18,100,118,0,9.33,0
734,26,55,47,1478,0.226,0.225,8.4,1.6,0.4,8.7,21.3,0.053,-0.5,0.282,0.446,130,0.823,72,46,8,61,315,0,11.24,0
735,21,71,71,2496,0.278,0.273,31.6,2.2,0.8,12.1,28.2,0.128,3.3,0.358,0.458,338,0.861,433,108,23,190,367,0,20.82,1
737,30,80,31,2252,0.265,0.213,22.7,1.3,0.8,14.8,17.8,0.049,-0.2,0.341,0.435,149,0.839,324,56,22,133,389,0,9.5,0
738,23,80,36,2277,0.267,0.193,23.1,1.9,0.3,14.5,22.6,0.104,0.9,0.339,0.477,177,0.893,331,85,9,168,535,0,13.09,0
739,35,9,0,107,0.538,0.154,6.2,2.8,0.7,17.8,13.9,-0.099,-0.1,0.071,0.417,4,0.5,5,6,1,6,682,0,1.67,0
740,28,30,0,146,0.043,0.478,2.8,1.1,4.5,26.4,11.8,0.04,-0.1,0,0.5,11,0.545,3,3,8,10,1959,1,0.93,0
741,26,5,1,50,0.222,0.222,7.5,0,1.4,9.2,9.8,0.01,0,0,0.286,2,1,3,0,1,1,611,0,1.2,0
742,29,77,77,2902,0.226,0.432,32,2.2,0.8,14.4,31,0.264,8,0.379,0.622,585,0.75,488,121,26,270,581,0,27.13,1
743,38,11,0,77,0.238,0.095,34.1,1.4,0,18.6,16.1,-0.073,-0.2,0.2,0.25,2,0,17,2,0,5,793,0,1,0
744,37,22,0,248,0.446,0.272,4.1,1.8,0.9,6.4,19.6,0.019,-0.2,0.195,0.412,25,0.72,7,9,3,7,692,0,3.82,0
745,29,73,73,2553,0.011,0.201,12.8,1.4,2.4,7.6,29.3,0.146,2.5,0.2,0.512,277,0.69,155,67,79,124,1110,1,21.84,0
746,33,82,78,2213,0.46,0.248,9.6,1.3,0.5,11.5,16.9,0.058,0.3,0.409,0.484,162,0.741,130,56,14,94,81,0,10.13,0
747,22,13,0,158,0.429,0.095,10.4,0.3,0.5,20.1,15.8,-0.043,-0.2,0.222,0.5,4,1,11,1,1,11,1034,0,3.08,0
748,24,80,79,2728,0.403,0.283,34.4,1.9,0.2,14.4,23.4,0.068,1,0.337,0.397,321,0.751,609,101,8,215,504,0,15.51,0
749,26,64,0,741,0.356,0.284,7.8,1.4,0.6,15.5,16,0.092,0,0.419,0.5,59,0.729,39,21,6,43,198,0,4.22,0
750,26,77,72,2214,0.108,0.234,8.7,1.3,3.2,15.4,16.4,0.136,2.6,0.303,0.593,143,0.636,115,56,88,123,183,0,10.38,0
751,23,40,0,789,0.593,0.201,6,1.8,0.4,8.6,14.3,0.085,0.2,0.339,0.483,43,0.86,31,27,4,22,1253,0,6.25,0
752,26,52,4,956,0.282,0.292,18.2,2.3,5,16,20,0.15,1.6,0.253,0.548,90,0.844,111,42,57,66,3358,0,7.38,0
753,32,79,79,2575,0.397,0.192,15,1,0.3,9.8,22.3,0.091,1.2,0.401,0.489,195,0.815,216,47,10,120,380,0,15.76,0
757,26,79,62,2240,0.416,0.118,8.2,1.9,2.5,11.6,15.1,0.041,1.2,0.369,0.466,77,0.792,124,86,77,90,220,0,9.05,0
758,24,3,0,15,0.429,0.286,8.5,3.2,0,20.2,27.9,-0.661,-0.1,0,0,2,0,1,1,0,2,244,0,0,0
759,33,20,6,236,0.794,0.162,5.8,0.7,1.5,5.2,15.6,0.147,0.1,0.519,0.214,11,0.636,9,3,4,4,442,0,4.85,0
760,22,62,7,764,0.337,0.232,4.9,0.9,2,9.5,12.8,0.094,-0.1,0.361,0.508,42,0.667,26,14,19,21,957,0,3.48,0
761,22,76,71,2078,0.142,0.274,7,1.3,3.5,8.2,18.3,0.169,2.2,0.307,0.581,195,0.605,87,53,99,71,592,0,12.12,0
763,22,68,19,936,0.143,0.362,17.2,1.9,1.1,12.3,16.9,0.148,0.6,0.316,0.502,96,0.823,114,35,14,43,421,0,5.04,0
764,31,39,13,736,0.009,0.197,14.1,0.7,3.9,16.4,26.7,0.036,-0.1,0,0.513,68,0.765,58,11,40,74,190,1,10.36,0
765,21,80,37,2138,0.001,0.239,6.4,0.7,1.5,13.3,23.3,0.05,-1,0,0.492,204,0.73,75,28,42,144,115,1,12.34,0
766,20,22,1,156,0.543,0.286,5.6,1,0.5,21.8,14.4,-0.041,-0.2,0.211,0.5,10,0.9,6,3,1,11,137,0,1.68,0
767,22,59,25,1312,0.383,0.364,10.7,1.2,2.5,9.8,15.9,0.081,0.6,0.338,0.476,135,0.815,95,32,45,47,953,0,8,0
768,20,62,62,1502,0.025,0.521,5.4,1.5,2.1,12.1,15.2,0.098,0.4,0.111,0.483,184,0.614,52,43,39,60,194,0,7.23,0
769,32,45,4,857,0.031,0.744,13.1,2.4,1.9,20.3,14.6,0.07,0.4,0.2,0.523,119,0.513,72,40,19,54,429,0,5.02,0
770,22,72,69,2400,0.31,0.296,26.6,1.5,0.6,13.2,26.8,0.055,0.7,0.325,0.466,323,0.802,352,69,17,188,73,0,17.93,0
771,32,71,71,2408,0.644,0.154,13.3,1.5,0.8,13.6,14.2,0.118,2.5,0.472,0.479,94,0.926,208,70,24,102,99,0,11.97,1
773,22,53,0,695,0.563,0.225,9.3,0.8,0.1,13.3,13.3,0.036,-0.4,0.4,0.386,36,0.806,43,11,1,27,416,0,3.6,0
774,21,78,0,1538,0.406,0.105,11.8,1.8,1.4,8.7,20.1,0.102,0.3,0.356,0.483,64,0.797,115,56,26,61,830,0,8.53,0
776,21,48,0,489,0.277,0.182,20.4,2.7,0.2,20.9,17.4,-0.01,-0.3,0.316,0.404,25,0.64,71,26,1,39,352,0,2.75,0
777,26,62,61,2222,0.251,0.504,38.2,2.2,0.3,16.9,22.7,0.136,2.1,0.356,0.455,406,0.798,543,100,10,200,222,0,17.58,0
778,21,11,0,33,0.471,0.235,9.5,1.6,0,9.6,28.6,0.024,0,0.375,0.333,4,1,2,1,0,2,127,0,1.73,0
782,30,69,67,2288,0.001,0.302,10.9,1,0.9,12,24.3,0.16,1.6,0,0.523,296,0.78,147,48,26,152,1161,0,18.22,0
784,22,66,65,1923,0.282,0.195,10.4,3,1.9,10.3,18.3,0.193,3.8,0.379,0.579,126,0.802,133,114,50,80,336,0,12.79,0
785,21,40,0,355,0.066,0.231,7.3,1,1,13,14.2,0.086,-0.1,0,0.482,21,0.762,18,7,5,15,435,1,2.45,0
786,24,49,0,642,0.199,0.191,5.2,1.5,1.7,9.2,21.1,0.149,0.1,0.469,0.497,47,0.787,20,18,13,27,151,0,6.16,0
787,34,60,6,971,0.568,0.14,8.5,2.9,0.7,12.3,14.1,0.083,0.5,0.343,0.51,33,0.788,57,53,8,35,651,0,4.47,0
789,23,82,82,2937,0.425,0.327,25.1,1.1,0.5,11.5,25,0.157,3.5,0.394,0.447,426,0.871,457,64,22,193,737,0,20.67,1
790,25,71,33,2054,0.346,0.4,22.3,1.6,1,18.4,20.4,0.103,0.8,0.358,0.492,265,0.823,294,68,27,176,1341,0,12.54,0
791,28,76,54,1974,0.012,0.392,20.1,2.5,1.3,15.5,16.1,0.108,1.3,0.167,0.486,191,0.827,245,93,31,105,187,0,8.28,0
792,25,17,17,533,0.004,0.502,6.1,0.9,4.8,9.1,27.1,0.211,0.4,0,0.566,115,0.817,16,9,30,28,774,1,20.71,0
793,25,82,82,2603,0.002,0.376,4.2,0.5,3.7,10.1,14,0.176,3.3,0,0.552,242,0.818,73,25,139,84,350,1,11.07,0
794,25,77,77,2797,0.355,0.445,21.4,1,1,10.3,28.8,0.245,7.3,0.376,0.502,633,0.821,341,59,35,196,1039,0,26.1,0
795,27,79,79,2862,0.463,0.356,34.7,2.2,0.4,13.4,22.9,0.197,5.7,0.38,0.46,385,0.813,586,121,15,194,361,0,17.94,1
796,31,42,6,591,0.442,0.084,11.1,1.2,0,10,17,-0.058,-0.7,0.298,0.349,16,0.625,42,14,0,22,2191,0,3.79,0
797,23,73,11,1490,0.367,0.148,28.8,1.7,0.1,14.3,19,0.074,-0.1,0.337,0.464,74,0.865,271,50,2,89,270,0,7.45,0
798,27,77,1,1248,0.005,0.767,2.9,1.7,4.4,18.7,11.4,0.129,0.7,0,0.484,145,0.621,24,41,72,58,188,1,3.53,0
799,35,76,76,2409,0.229,0.092,7.6,1.9,1.3,11.4,15.7,0.086,1.9,0.358,0.518,65,0.785,124,90,37,95,876,0,10.41,0
800,22,54,45,1564,0.425,0.086,44.3,1.5,0.2,25.6,16.3,0.029,-1,0.399,0.411,36,0.528,477,48,4,150,641,0,7.96,0
804,36,32,15,633,0.008,0.154,11.9,2.1,3.8,16.5,11.6,0.09,0.5,0,0.516,19,0.579,50,25,27,26,265,0,4.28,0
805,30,68,68,2177,0.29,0.332,9.2,1.5,0.2,8.3,25,0.117,0.8,0.387,0.448,340,0.891,121,66,6,106,491,0,19.09,0
806,33,25,2,260,0.716,0.104,10.5,1.2,0.3,11.4,14.5,0.055,-0.1,0.354,0.421,7,1,19,6,1,9,781,0,2.96,0
807,27,82,82,2780,0.506,0.298,10.9,1.4,0.4,8.8,19.6,0.142,3.1,0.393,0.49,301,0.837,197,76,14,110,182,0,16.38,0
808,26,52,23,1346,0.413,0.16,14.6,1.1,0.8,13.9,23,0.002,-0.7,0.37,0.433,88,0.864,113,28,13,95,231,0,11.69,0
812,22,45,10,897,0.197,0.143,21,1.2,0.8,10.9,17.6,0.02,-0.5,0.373,0.378,43,0.744,120,22,9,39,229,0,6.22,0
813,22,38,0,476,0.449,0.191,8.7,1.5,0.3,15.4,20.9,0.019,-0.3,0.375,0.449,34,0.676,27,14,2,35,183,0,5.29,0
815,20,82,55,2187,0.437,0.211,5.8,1,0.7,11.5,16.9,0.016,-0.6,0.32,0.419,143,0.804,82,45,18,96,256,0,8.78,0
816,26,78,78,2360,0.514,0.15,21.9,1.3,1.5,12.1,13.4,0.132,2.9,0.361,0.516,85,0.729,333,58,46,83,254,0,8.47,0
817,26,77,70,2556,0.453,0.289,8.5,2.1,0.1,9.9,19.1,0.084,1.8,0.401,0.514,258,0.857,138,111,4,111,636,0,15.7,0
818,25,31,1,292,0.233,0.14,30.1,0.7,0.3,25.4,19,-0.073,-0.5,0.25,0.379,12,0.667,63,4,1,31,298,0,2.35,0
819,22,82,64,2460,0.34,0.16,11.7,1.8,0.7,11.9,19.1,0.053,0.3,0.414,0.454,137,0.861,169,83,20,123,131,0,12.07,0
820,26,51,34,984,0.516,0.183,9.1,2.4,1.3,9.1,22,0.122,0.7,0.393,0.48,75,0.853,52,46,15,44,71,0,9.86,0
824,23,45,7,723,0.464,0.217,8.7,1.7,1,10.8,12.8,0.055,-0.1,0.325,0.539,36,0.806,43,24,9,22,1526,0,4.44,0
825,33,82,4,1707,0.526,0.126,11.5,0.8,0.2,14.1,14.7,0.111,0.9,0.459,0.505,56,0.821,130,26,5,77,643,0,7.06,0
826,21,52,16,789,0.367,0.215,4.9,1.4,3,14.6,17.7,0.002,-0.4,0.319,0.395,55,0.709,26,22,32,48,1067,0,4.94,0
827,25,81,2,1527,0.477,0.123,15.3,2.3,0.4,8.2,22.6,0.175,2,0.425,0.5,82,0.89,149,68,9,63,346,0,10.2,0
828,28,74,73,2482,0.202,0.373,16.2,2.6,2.5,13.2,25.7,0.129,3.2,0.358,0.487,391,0.731,232,129,78,185,371,0,17.95,1
830,23,82,82,2690,0.001,0.362,10.3,1.7,1.4,12.4,21.4,0.106,1.6,0,0.497,367,0.657,171,91,47,166,263,0,15.23,0
831,24,79,3,1506,0.353,0.149,11.8,2,0.7,10.2,16.4,0.055,-0.1,0.354,0.468,68,0.765,112,60,13,55,213,0,6.32,0
836,24,82,1,1800,0.399,0.244,7.6,2,0.8,11.6,19.9,0.111,1,0.381,0.483,159,0.761,88,72,18,95,387,0,9.71,0
837,24,81,0,2153,0.128,0.387,10.9,1.6,1.8,12.9,23.2,0.143,1.6,0.315,0.512,327,0.792,144,68,51,147,199,0,13.77,0
838,28,76,9,1426,0.375,0.167,6.7,1.4,0.7,8.4,19.4,0.081,-0.1,0.451,0.462,87,0.828,59,38,12,51,575,0,8.37,0
839,23,62,3,952,0.284,0.324,5.5,1,1.6,12.7,17.8,0.069,-0.4,0.25,0.519,96,0.604,34,20,21,49,238,0,5.5,0
840,27,82,30,1770,0.044,0.477,5.5,0.7,4.2,15.6,18.8,0.123,0.7,0.167,0.539,260,0.754,62,27,100,122,83,1,9.39,0
841,21,37,0,290,0.089,0.323,3.4,1.4,0.3,10.2,23.1,0.053,-0.3,0.273,0.478,40,0.65,6,8,1,16,234,0,3.86,0
845,24,51,0,373,0.093,0.302,21.5,2.7,0.2,18.9,22.5,0.002,-0.3,0.417,0.436,39,0.59,49,19,1,34,941,0,2.75,0
846,22,20,0,215,0.041,0.192,5.2,0.7,3.7,13.2,19.3,0.04,-0.2,0,0.443,14,1,7,3,10,12,249,0,3.8,0
847,39,15,10,313,0.255,0.255,40.3,1.1,0.5,22.9,18.9,0.017,-0.3,0.333,0.4,24,0.917,86,7,2,31,1083,0,6.8,0
851,22,24,0,142,0.462,0.205,12.1,0,0.5,23.4,17.2,-0.132,-0.3,0.167,0.238,8,0.875,13,0,1,13,130,0,1.08,0
852,31,68,68,2179,0.523,0.15,35.1,1.2,0.2,17.3,20.1,0.062,0.5,0.348,0.444,112,0.857,476,52,5,166,893,0,12.06,0
853,24,76,5,1174,0.212,0.136,3.5,0.8,1.5,10.3,19.3,0.025,-1.4,0.315,0.459,57,0.825,25,18,23,51,322,0,5.72,0
854,28,80,80,2820,0.003,0.419,26.4,1.9,3.3,17,18.7,0.19,6.1,0,0.476,335,0.737,431,99,121,194,391,1,12.59,0
855,30,54,1,540,0.836,0.041,3.8,1.2,0.6,3.3,12.9,0.127,0.2,0.426,0.333,6,1,13,12,4,5,683,0,3.3,0
856,35,80,80,2628,0.258,0.295,14.2,1.4,1.4,7.5,26.9,0.199,3.5,0.398,0.532,376,0.899,216,73,45,117,1248,0,21.69,1
857,23,69,19,1188,0.008,0.224,10.9,1.7,5.8,16.1,18.6,0.101,0.8,0,0.505,83,0.687,78,39,88,78,169,1,6.22,0
858,21,80,44,2487,0.241,0.34,21.9,2.7,1.2,19.2,24.4,0.026,0.8,0.327,0.448,318,0.78,327,129,37,256,286,0,13.82,0
859,22,70,9,1400,0.227,0.243,13.1,1.3,1.5,16,21,0.101,0.9,0.351,0.5,122,0.811,109,35,27,106,210,1,8.67,0
860,29,63,4,1065,0.359,0.16,7,1,1.4,6.9,15.5,0.062,-0.1,0.35,0.426,52,0.808,48,20,19,26,342,0,5.44,0
861,29,53,43,1325,0.003,0.372,16.3,1.8,0.9,18.5,17,0.06,0.4,0,0.428,130,0.846,136,45,14,92,17,1,7.7,0
862,34,29,0,242,0.508,0.093,40.3,3,0.3,17.5,28.4,0.105,0.2,0.4,0.483,11,0.727,52,14,1,26,480,0,4.69,0
863,31,68,68,1997,0.073,0.266,31.7,0.9,0.3,12.9,26.5,0.141,0.8,0.373,0.509,243,0.811,388,36,9,151,406,0,16.68,0
864,25,74,74,2783,0.356,0.224,17.3,1.6,0.8,11.7,19.3,0.131,3.2,0.37,0.528,221,0.742,298,88,29,144,876,0,16.57,0
868,28,62,62,2171,0.244,0.397,48.9,3.5,0.1,12.4,23.7,0.27,5.2,0.368,0.498,345,0.855,663,154,4,145,989,0,19.11,1
869,29,62,62,1207,0.005,0.347,7.6,1.1,2.2,28.8,11.5,0.031,-0.2,0,0.453,67,0.552,67,26,32,90,308,1,3.4,0
870,36,75,68,2098,0.421,0.435,14.5,2.2,1.2,15.3,22.4,0.119,1.8,0.373,0.507,310,0.826,178,86,31,153,640,0,13.47,0
871,23,70,22,1275,0.01,0.646,8.1,2,3.6,16.6,17.1,0.176,1.4,0,0.666,195,0.626,60,49,55,77,721,1,7.43,0
872,25,15,2,270,0.43,0.329,11,1,0.3,14.2,18,0.063,0,0.324,0.444,26,0.808,20,5,1,15,42,0,6.27,0
873,20,37,0,319,0.231,0.132,4.6,1.3,0.3,12.7,15.6,-0.006,-0.4,0.19,0.414,12,0.667,10,8,1,14,238,0,2.11,0
874,22,75,11,1132,0.419,0.178,30.8,3.1,0.3,24.2,14.1,0.005,-0.7,0.264,0.34,45,0.644,241,68,5,87,336,0,2.84,0
875,27,28,0,99,0.478,0.043,21.5,0.5,0,13,23.2,-0.012,-0.1,0.273,0.542,2,0,13,1,0,7,865,0,1.57,0
876,30,31,2,377,0.467,0.141,25.6,3.4,0.4,21,15,-0.007,-0.2,0.209,0.388,13,0.692,66,25,2,26,833,0,2.39,0
877,36,66,27,1283,0.733,0.063,25.6,2.8,0.1,23.4,9.3,0.127,0.8,0.464,0.451,12,0.917,228,67,2,60,298,0,3.82,0
878,33,76,76,1948,0.14,0.122,8.9,1.1,0.8,7.3,13.3,0.038,-0.3,0.29,0.426,60,0.567,119,39,19,41,216,0,5.97,0
879,24,43,5,527,0.347,0.392,9.1,2.4,2.7,15.9,19.8,0.055,0,0.295,0.435,69,0.754,32,26,19,39,363,0,4.79,0
880,32,79,79,2705,0.017,0.281,12.7,1.1,0.7,12,26.1,0.113,1.7,0.1,0.474,337,0.742,200,54,23,183,300,0,17.37,0
881,29,35,34,987,0.465,0.266,12.6,1.4,0.2,8.6,21.8,0.147,0.7,0.395,0.507,106,0.915,78,28,3,42,389,0,15.2,0
882,23,11,1,109,0.459,0.189,9.3,2.8,0.8,18.3,20.3,-0.043,-0.1,0.294,0.3,7,0.714,7,6,1,9,353,0,2.91,0
886,21,69,4,1339,0.209,0.365,18.7,1.8,0.6,12.3,21.3,0.023,-0.7,0.364,0.416,173,0.636,160,45,9,77,290,0,7.68,0
887,22,40,16,399,0.191,0.147,5.2,2.4,2,20.8,10.1,0.099,0.2,0.154,0.564,10,0.7,15,19,10,19,183,0,1.88,0
